epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-5.4526755760192875,3.194783672332764,-8.647459248352051,36.9724,0.4892,0.4262,0.0846,12.4,88.61
2,-4.188747805023193,1.5844226898193359,-5.773170494842529,37.2982,0.4826,0.4382,0.0792,12.4,87.31
3,-4.988429012298584,1.1956745201110839,-6.184103532409668,36.9342,0.4824,0.4362,0.0814,12.4,87.23
4,-5.380645646667481,0.6197210998535156,-6.000366746520996,37.8016,0.4784,0.4372,0.0844,12.4,90.07
5,-3.4528104957580568,2.602613055419922,-6.055423551177978,37.1426,0.487,0.438,0.075,12.4,87.8
6,-4.83514553527832,-1.4906282211303712,-3.344517314147949,37.7112,0.4692,0.448,0.0828,12.4,89.29
7,-5.885977198028565,-0.13713691101074219,-5.748840287017822,37.7296,0.4742,0.4376,0.0882,12.4,89.71
8,-5.267538829040527,1.6926270965576171,-6.960165925598145,37.1676,0.4826,0.4342,0.0832,12.4,88.2
9,-4.606911712646484,1.2607674980163575,-5.867679210662842,36.8316,0.4794,0.4392,0.0814,12.4,87.38
10,-6.943894422149659,-0.057595272827148436,-6.88629914932251,38.2298,0.4746,0.4362,0.0892,12.4,90.74
11,-4.299350019836425,0.12874014587402344,-4.428090165710449,37.0704,0.4778,0.441,0.0812,12.4,103.88
12,-6.249941633605957,-0.6297853958129883,-5.620156237792969,37.9374,0.4732,0.4406,0.0862,12.4,105.63
13,-6.33891644897461,1.770998159790039,-8.10991460876465,37.442,0.486,0.4262,0.0878,12.4,104.65
14,-6.484109617614746,-2.1377726676940916,-4.346336949920654,37.749,0.471,0.4456,0.0834,12.4,105.82
15,-4.659064433288574,2.766962504577637,-7.426026937866211,37.3098,0.488,0.4286,0.0834,12.4,104.72
16,5.709250668334961,4.956701212310791,0.7525494560241699,58.6778,0.4734,0.4418,0.0848,12.4,163.25
17,7.310889101409912,12.055533086395263,-4.744643984985352,59.0272,0.504,0.4134,0.0826,12.4,164.15
18,7.8668337890625,6.128853221130371,1.737980567932129,57.8688,0.4784,0.444,0.0776,12.4,161.85
19,7.571820728302002,7.672081593322754,-0.10026086502075195,58.0188,0.4842,0.435,0.0808,12.4,162.2
20,9.065971118927003,9.683751503753662,-0.6177803848266602,58.9986,0.4918,0.4308,0.0774,12.4,165.46
21,8.126471898651124,9.522267811584472,-1.3957959129333497,58.1208,0.4904,0.4326,0.077,12.4,163.14
22,5.519302516174316,7.7097230018615726,-2.190420485687256,59.1064,0.4886,0.425,0.0864,12.4,164.76
23,8.420865539550782,10.062496799468994,-1.6416312599182128,58.2086,0.4924,0.4304,0.0772,12.4,162.91
24,7.6945953422546385,7.169977610015869,0.5246177322387695,59.2926,0.484,0.4436,0.0724,12.4,165.7
25,10.304773873138428,7.919373836517334,2.385400036621094,57.9546,0.4852,0.4482,0.0666,12.4,163.27
26,8.017901765441895,7.284864619445801,0.7330371459960937,58.407,0.48,0.4422,0.0778,12.4,164.32
27,9.766190053558349,9.704126390838622,0.06206366271972656,58.7872,0.489,0.4334,0.0776,12.4,166.06
28,8.091846061706542,8.74681989440918,-0.6549738327026368,58.7998,0.487,0.4346,0.0784,12.4,165.59
29,9.479290202331542,7.832245447540283,1.6470447547912597,59.2114,0.4818,0.4444,0.0738,12.4,166.52
30,9.140239795684815,9.284737377166747,-0.1444975814819336,58.057,0.4882,0.4356,0.0762,12.4,163.3
31,9.220556969451904,11.204753789520264,-1.9841968200683593,57.28,0.4984,0.4264,0.0752,12.4,161.07
32,8.38446192703247,8.295734303283691,0.0887276237487793,58.2768,0.4844,0.442,0.0736,12.4,163.09
33,8.2731265625,6.737021716308594,1.5361048461914062,58.0252,0.4728,0.447,0.0802,12.4,164.29
34,5.508629415893554,6.719243446350098,-1.210614030456543,59.0808,0.4838,0.436,0.0802,12.4,166.94
35,6.402037561035156,3.8065412071228026,2.5954963539123534,60.0792,0.4714,0.4508,0.0778,12.4,168.86
36,9.023071969604493,8.347741036224365,0.675330933380127,59.6042,0.4856,0.4412,0.0732,12.4,167.76
37,6.7983991737365725,8.38333108139038,-1.5849319076538086,59.9026,0.4882,0.431,0.0808,12.4,168.76
38,9.716771131896973,8.860993679809571,0.8557774520874023,59.4144,0.4862,0.4384,0.0754,12.4,167.74
39,9.06880779876709,9.352574287414551,-0.28376648864746096,59.293,0.4942,0.4352,0.0706,12.4,168.33
40,5.561259007263184,7.231215336608887,-1.6699563293457031,60.2452,0.4768,0.4322,0.091,12.4,171.13
41,5.923997160339355,8.871702043914794,-2.9477048835754394,61.0414,0.4934,0.4246,0.082,12.4,173.04
42,6.500444202423096,8.219280792999268,-1.7188365905761718,60.445,0.488,0.4296,0.0824,12.4,170.13
43,4.208779007720947,7.22308793334961,-3.014308925628662,60.99,0.4856,0.4284,0.086,12.4,172.22
44,5.615608910369873,7.700461937713623,-2.08485302734375,61.179,0.4892,0.429,0.0818,12.4,173.14
45,3.7060292541503905,6.364734293365479,-2.658705039215088,62.3828,0.4796,0.4234,0.097,12.4,177.53
46,1.0020327079772948,3.824519993591309,-2.8224872856140135,62.9038,0.4678,0.4276,0.1046,12.4,177.56
47,4.506904987335205,5.353173642730713,-0.8462686553955078,62.5352,0.4746,0.4338,0.0916,12.4,176.92
48,4.828052294158936,7.889052949523926,-3.06100065536499,62.2438,0.4876,0.4254,0.087,12.4,175.9
49,4.9517803970336915,7.145967595672608,-2.194187198638916,62.7804,0.4772,0.426,0.0968,12.4,178.53
50,3.7519398567199707,5.285325561523438,-1.5333857048034667,62.1754,0.4708,0.433,0.0962,12.4,176.67
51,4.6309144561767575,8.287015392303466,-3.656100936126709,62.2012,0.487,0.4222,0.0908,12.4,177.35
52,0.5309729560852051,3.5491848793029783,-3.0182119232177733,62.3366,0.4692,0.4298,0.101,12.4,176.23
53,0.30114941482543944,5.520708035278321,-5.219558620452881,63.3938,0.4768,0.4222,0.101,12.4,178.76
54,6.32095922164917,6.970088289642334,-0.649129067993164,62.5066,0.4792,0.4338,0.087,12.4,176.92
55,4.534404644012451,8.3439423248291,-3.8095376808166503,63.568,0.4852,0.421,0.0938,12.4,179.48
56,5.200522043609619,5.994997177886963,-0.7944751342773437,63.973,0.4698,0.4344,0.0958,12.4,181.19
57,3.9855466033935545,7.6738521720886235,-3.6883055686950685,63.4254,0.4796,0.4188,0.1016,12.4,180.11
58,1.5370033737182618,3.2358140632629393,-1.6988106895446777,65.755,0.4596,0.4278,0.1126,12.4,185.85
59,3.389401008605957,6.467332535552979,-3.0779315269470215,64.2192,0.4772,0.4194,0.1034,12.4,181.96
60,2.201667180633545,6.699740727233887,-4.498073546600342,66.2978,0.475,0.414,0.111,12.4,187.12
61,0.9576783515930176,4.596014417266845,-3.638336065673828,66.9336,0.47,0.417,0.113,12.4,190.77
62,1.0694512115478516,5.365190962219239,-4.295739750671387,65.9768,0.475,0.4164,0.1086,12.4,187.42
63,0.8626186225891114,3.3504453941345216,-2.4878267715454103,67.3054,0.4638,0.4278,0.1084,12.4,190.22
64,-0.36203210372924804,3.936319747924805,-4.298351851654052,67.6954,0.4598,0.4154,0.1248,12.4,190.82
65,3.924261259460449,7.365402642059326,-3.441141382598877,66.9266,0.4734,0.418,0.1086,12.4,189.91
66,35.18931341781616,10.584478491210938,24.604834926605225,77.7732,0.4324,0.5026,0.065,12.23542486889354,232.58
67,32.37882162017822,11.060033853149415,21.31878776702881,80.8938,0.4386,0.4872,0.0742,12.23542486889354,245.53
68,31.086504821014405,10.684735318756104,20.4017695022583,80.879,0.4426,0.4784,0.079,12.23542486889354,242.14
69,38.249967293548586,11.771038054656982,26.478929238891602,80.2332,0.4344,0.4976,0.068,12.23542486889354,242.5
70,42.42297352600097,16.568849830627443,25.854123695373534,82.3872,0.4428,0.483,0.0742,12.23542486889354,245.88
71,31.999178172302248,8.647296717834474,23.351881454467772,82.3004,0.4304,0.498,0.0716,12.23542486889354,249.07
72,32.520126974487304,11.181928565216065,21.33819840927124,81.9426,0.4404,0.493,0.0666,12.23542486889354,244.51
73,35.712811738586424,12.05880700302124,23.654004735565184,82.963,0.4376,0.4918,0.0706,12.23542486889354,246.04
74,34.27008500289917,11.437572624206544,22.832512378692627,84.0914,0.4392,0.4926,0.0682,12.23542486889354,251.81
75,39.74341982421875,12.428100559234618,27.31531926498413,83.733,0.4346,0.5006,0.0648,12.23542486889354,250.64
76,45.81795725479126,13.011862087249757,32.80609516754151,82.603,0.4234,0.5156,0.061,12.23542486889354,247.8
77,43.22061737670899,15.451913291168212,27.768704085540772,85.0822,0.4426,0.4936,0.0638,12.23542486889354,254.89
78,48.79346320114136,19.254916139984132,29.538547061157228,83.096,0.444,0.4904,0.0656,12.23542486889354,249.37
79,50.70369052886963,19.154183576202392,31.549506952667237,83.1826,0.4374,0.4954,0.0672,12.23542486889354,249.5
80,57.716236853790285,25.525482034301756,32.190754819488525,81.6704,0.4584,0.4848,0.0568,12.217157287525382,245.64
